order_id,order_item_id,product_id,seller_id,shipping_limit_date,price
0000000001,3,PID000001,SID2777,2023-01-01 00:00:00,177.25
0000000002,4,PID000002,SID5766,2023-01-02 00:00:00,285.8
0000000003,1,PID000003,SID5534,2023-01-03 00:00:00,185.24
0000000004,3,PID000004,SID8399,2023-01-04 00:00:00,97.82
0000000005,3,PID000005,SID4138,2023-01-05 00:00:00,129.43
0000000006,4,PID000006,SID2976,2023-01-06 00:00:00,466.17
0000000007,1,PID000007,SID9288,2023-01-07 00:00:00,214.27
0000000008,1,PID000008,SID2402,2023-01-08 00:00:00,370.63
0000000009,3,PID000009,SID3695,2023-01-09 00:00:00,508.38
0000000010,2,PID000010,SID7545,2023-01-10 00:00:00,693.49
0000000011,3,PID000011,SID8831,2023-01-11 00:00:00,48.92
0000000012,3,PID000012,SID7568,2023-01-12 00:00:00,801.42
0000000013,3,PID000013,SID2776,2023-01-13 00:00:00,631.62
0000000014,3,PID000014,SID4345,2023-01-14 00:00:00,90.94
0000000015,4,PID000015,SID1786,2023-01-15 00:00:00,874.84
0000000016,1,PID000016,SID5356,2023-01-16 00:00:00,921.66
0000000017,4,PID000017,SID4443,2023-01-17 00:00:00,70.47
0000000018,4,PID000018,SID8477,2023-01-18 00:00:00,284.11
0000000019,4,PID000019,SID8957,2023-01-19 00:00:00,808.14
0000000020,3,PID000020,SID7435,2023-01-20 00:00:00,750.78
0000000021,2,PID000021,SID6121,2023-01-21 00:00:00,192.68
0000000022,1,PID000022,SID5022,2023-01-22 00:00:00,217.26
0000000023,2,PID000023,SID7410,2023-01-23 00:00:00,376.77
0000000024,4,PID000024,SID5043,2023-01-24 00:00:00,489.68
0000000025,4,PID000025,SID5291,2023-01-25 00:00:00,622.07
0000000026,2,PID000026,SID9903,2023-01-26 00:00:00,375.22
0000000027,2,PID000027,SID8168,2023-01-27 00:00:00,467.91
0000000028,2,PID000028,SID4798,2023-01-28 00:00:00,750.0
0000000029,4,PID000029,SID6259,2023-01-29 00:00:00,46.32
0000000030,4,PID000030,SID5732,2023-01-30 00:00:00,259.91
0000000031,1,PID000031,SID7719,2023-01-31 00:00:00,716.22
0000000032,1,PID000032,SID3531,2023-02-01 00:00:00,896.25
0000000033,4,PID000033,SID1328,2023-02-02 00:00:00,516.56
0000000034,2,PID000034,SID7009,2023-02-03 00:00:00,536.79
0000000035,2,PID000035,SID9758,2023-02-04 00:00:00,116.1
0000000036,1,PID000036,SID5058,2023-02-05 00:00:00,452.94
0000000037,4,PID000037,SID8593,2023-02-06 00:00:00,537.29
0000000038,1,PID000038,SID5055,2023-02-07 00:00:00,250.05
0000000039,1,PID000039,SID1497,2023-02-08 00:00:00,276.55
0000000040,3,PID000040,SID5137,2023-02-09 00:00:00,383.51
0000000041,3,PID000041,SID3779,2023-02-10 00:00:00,29.87
0000000042,3,PID000042,SID2008,2023-02-11 00:00:00,328.86
0000000043,2,PID000043,SID1969,2023-02-12 00:00:00,219.33
0000000044,4,PID000044,SID6981,2023-02-13 00:00:00,334.22
0000000045,4,PID000045,SID8928,2023-02-14 00:00:00,128.56
0000000046,4,PID000046,SID5577,2023-02-15 00:00:00,891.62
0000000047,4,PID000047,SID9129,2023-02-16 00:00:00,597.66
0000000048,3,PID000048,SID7911,2023-02-17 00:00:00,682.31
0000000049,2,PID000049,SID6264,2023-02-18 00:00:00,791.28
0000000050,2,PID000050,SID4727,2023-02-19 00:00:00,503.46
0000000051,3,PID000051,SID3448,2023-02-20 00:00:00,96.05
0000000052,2,PID000052,SID8659,2023-02-21 00:00:00,541.74
0000000053,3,PID000053,SID5719,2023-02-22 00:00:00,590.97
0000000054,4,PID000054,SID8574,2023-02-23 00:00:00,747.99
0000000055,3,PID000055,SID6789,2023-02-24 00:00:00,437.34
